Tag,Year,Location,Bison,,Group,Community,iso1,iso2
2048,2017,CCE,No bison,,P.man,Burned,-21.48,3.98
2071,2018,SBEX1,No bison,,P.man,Unburned,-22.31,3.84
2098,2017,HPN,Bison,,P.man,Burned,-12.69,5.76
2134,2017,HF,Bison,,P.man,Burned,-24.76,5.07
2150,2017,SBEX2,No bison,,P.leu,Unburned,-23.23,5.41
2151,2017,SB,No bison,,P.man,Unburned,-12.71,6.03
2157,2017,AG,No bison,,P.man,Unburned,-12.74,8.05
2158,2017,SB,No bison,,P.man,Unburned,-15.18,5.36
2162,2017,SBEX1,No bison,,P.man,Unburned,-11.53,7.33
2171,2017,SBEX1,No bison,,P.man,Unburned,-20.79,4.13
2177,2017,SBEX1,No bison,,M.och,Unburned,-24.93,8.12
2179,2017,SBEX1,No bison,,M.och,Unburned,-25.95,4.26
2184,2017,TCR,No bison,,P.leu,Unburned,-24.3,5.59
2186,2017,TCEX,No bison,,P.leu,Unburned,-23.73,3.37
2191,2017,SBEX1,No bison,,P.man,Unburned,-17.64,4.15
2195,2017,SBEX1,No bison,,P.man,Unburned,-19.15,4.35
2197,2017,TCEX,No bison,,P.man,Unburned,-20.68,3.19
2199,2017,AG,No bison,,P.man,Unburned,-10.38,6.89
2202,2017,SBEX1,No bison,,P.leu,Unburned,-20.34,3.44
2207,2017,TCR,No bison,,P.leu,Unburned,-23.83,3.63
2209,2017,TCEX,No bison,,P.leu,Unburned,-15.43,7.45
2220,2017,SB,No bison,,M.och,Unburned,-18.56,5.54
2221,2017,TCEX,No bison,,P.man,Unburned,-14.49,5.94
2222,2017,SBEX1,No bison,,P.man,Unburned,-15.18,5.96
2224,2017,SBEX1,No bison,,P.man,Unburned,-21.55,4.59
2225,2017,TC,No bison,,M.och,Unburned,-22.72,3.01
2227,2017,AG,No bison,,P.man,Unburned,-13.21,6.03
2230,2017,SB,No bison,,P.leu,Unburned,-18.38,5.91
2231,2017,SB,No bison,,P.man,Unburned,-9.27,7.02
2234,2017,TCR,No bison,,P.leu,Unburned,-11.52,8.18
2239,2017,SBEX1,No bison,,M.och,Unburned,-26.03,3.51
2242,2017,SB,No bison,,P.man,Unburned,-11.53,7.06
2245,2017,TCEX,No bison,,M.och,Unburned,-26.55,4.09
2247,2017,SBEX1,No bison,,M.och,Unburned,-26.43,3.39
2248,2017,CCEEX,No bison,,P.man,Unburned,-23.19,4.17
2250,2017,SBEX1,No bison,,P.leu,Unburned,-13.85,4.92
2252,2017,HPN,Bison,,P.man,Burned,-12.77,2.18
2256,2017,SB,No bison,,M.och,Unburned,-26.72,3.46
2258,2018,HPW,Bison,,P.man,Burned,-17.26,6.63
2261,2017,CCW,No bison,,P.leu,Unburned,-14.8,3.85
2263,2018,SF,No bison,,P.leu,Unburned,-13.62,6.66
2266,2017,SBEX2,No bison,,P.leu,Unburned,-17.28,9.61
2270,2018,HL,Bison,,M.och,Burned,-22.33,4.87
2273,2017,CCE,No bison,,P.man,Burned,-17.17,5.58
2274,2017,SBEX2,No bison,,P.man,Unburned,-23.51,4
2276,2017,CCEEX,No bison,,P.leu,Unburned,-12.4,8.58
2287,2017,CCEEX,No bison,,P.man,Unburned,-14.67,6.21
2289,2017,AG,No bison,,P.man,Unburned,-10.89,7.02
2291,2018,HPN,Bison,,P.man,Unburned,-22.3,5.64
2298,2017,HF,Bison,,P.man,Burned,-24.99,5.69
2299,2017,CCE,No bison,,P.man,Burned,-19.71,1.51
2302,2017,CCEEX,No bison,,P.man,Unburned,-23.49,3.74
2304,2017,TCEX,No bison,,P.man,Unburned,-15.57,5.73
2310,2017,AG,No bison,,P.man,Unburned,-10.4,8.95
2313,2018,HL,Bison,,P.leu,Burned,-22.87,5.42
2316,2017,HF,Bison,,M.och,Burned,-29.03,6.29
2317,2018,HF,Bison,,P.man,Burned,-23.09,6.1
2318,2018,TCR,No bison,,P.man,Burned,-11.45,8.32
