iso1,iso2,group,community
-24.35,11.05,No bison,P.man
-24.81,11.02,No bison,P.man
-17.28,9.61,No bison,P.leu
-9.66,9.53,Bison,P.man
-10.52,9.18,No bison,P.man
-10.4,8.95,No bison,P.man
-13.5,8.87,No bison,P.man
-10.15,8.83,No bison,P.man
-22.13,8.75,No bison,P.leu
-12.4,8.58,No bison,P.leu
-12.68,8.53,Bison,P.man
-24.13,8.51,Bison,P.man
-10.43,8.44,No bison,P.man
-9.95,8.38,No bison,P.man
-11.52,8.36,No bison,P.man
-10.84,8.36,No bison,P.man
-11.45,8.32,No bison,P.man
-12.54,8.25,No bison,P.man
-11.24,8.21,No bison,P.man
-16.02,8.19,No bison,P.leu
-11.52,8.18,No bison,P.leu
-15.2,8.14,No bison,P.man
-12.8,8.13,No bison,P.man
-24.93,8.12,No bison,M.och
-16.43,8.08,No bison,P.leu
-19.04,8.07,No bison,P.man
-12.74,8.05,No bison,P.man
-11.89,7.9,No bison,P.man
-17.9,7.83,No bison,P.man
-17.74,7.75,No bison,P.leu
-26.37,7.72,No bison,P.leu
-10.52,7.72,No bison,P.man
-24.02,7.69,No bison,P.leu
-22.76,7.67,No bison,P.leu
-21.58,7.6,No bison,P.man
-25.66,7.56,Bison,P.man
-18.69,7.54,No bison,P.man
-20.23,7.51,No bison,P.man
-15.43,7.45,No bison,P.leu
-15.48,7.43,No bison,P.man
-10.29,7.37,No bison,P.leu
-11.53,7.33,No bison,P.man
-12.32,7.28,No bison,P.man
-21.04,7.22,No bison,P.man
-13.77,7.15,No bison,P.man
-14.32,7.13,No bison,P.man
-12.91,7.1,No bison,P.man
-11.53,7.06,No bison,P.man
-10.89,7.02,No bison,P.man
-9.27,7.02,No bison,P.man
-16.3,7.01,No bison,P.man
-19.43,6.93,No bison,P.man
-10.38,6.89,No bison,P.man
-21.94,6.86,No bison,P.leu
-19.73,6.85,No bison,P.man
-19.51,6.74,No bison,P.man
-20.28,6.71,No bison,P.leu
-19.76,6.67,No bison,P.man
-15.28,6.67,No bison,P.man
-13.62,6.66,No bison,P.leu
-17.26,6.63,Bison,P.man
-24.55,6.62,No bison,P.leu
-14.16,6.6,Bison,P.man
-22.47,6.59,Bison,P.leu
-23.24,6.51,No bison,P.man
-22.87,6.49,No bison,P.leu
-18.44,6.49,No bison,P.leu
-22.86,6.47,No bison,P.man
-24.11,6.46,No bison,P.man
-14.54,6.43,Bison,P.man
-12.62,6.41,No bison,P.man
-22.89,6.4,Bison,P.leu
-19.55,6.37,No bison,P.man
-24.14,6.34,No bison,P.man
-21.57,6.32,No bison,P.man
-25.17,6.31,Bison,P.man
-29.03,6.29,Bison,M.och
-18.07,6.29,No bison,P.man
-24.01,6.28,Bison,P.man
-19.74,6.28,No bison,P.man
-24.11,6.27,Bison,P.man
-20.38,6.24,No bison,P.man
-12.56,6.24,No bison,P.man
-14.67,6.21,No bison,P.man
-20.83,6.18,No bison,P.man
-20.94,6.17,No bison,P.man
-17.68,6.17,No bison,P.man
-21.05,6.12,Bison,P.man
-10.76,6.12,Bison,P.leu
-23.09,6.1,Bison,P.man
-19.5,6.09,No bison,P.man
-23.02,6.04,No bison,P.man
-22.94,6.03,No bison,P.man
-21.61,6.03,Bison,P.man
-13.21,6.03,No bison,P.man
-12.71,6.03,No bison,P.man
-22.46,6.01,No bison,P.man
-21.04,6.01,No bison,P.leu
-22.67,5.97,No bison,P.leu
-15.18,5.96,No bison,P.man
-14.49,5.94,No bison,P.man
-21.24,5.91,No bison,P.man
-18.38,5.91,No bison,P.leu
-20.7,5.88,No bison,P.man
-21.39,5.84,No bison,P.man
-19.81,5.83,Bison,P.leu
-13.14,5.83,Bison,P.man
-24.64,5.82,Bison,P.man
-20.79,5.8,No bison,P.man
-20.28,5.78,No bison,P.man
-11.24,5.78,No bison,P.man
-12.69,5.76,Bison,P.man
-20.94,5.75,No bison,P.man
-15.57,5.73,No bison,P.man
-24.47,5.7,Bison,P.man
-24.99,5.69,Bison,P.man
-18.56,5.69,Bison,P.man
-17.68,5.68,No bison,P.man
-26.42,5.67,Bison,M.och
-24.38,5.66,Bison,P.man
-23.7,5.66,Bison,P.man
-23.55,5.66,Bison,P.leu
-22.37,5.65,Bison,P.man
-17.36,5.65,No bison,P.man
-25.07,5.64,Bison,P.leu
-22.55,5.64,Bison,P.man
-22.3,5.64,Bison,P.man
-23.73,5.63,No bison,P.man
-24.3,5.59,No bison,P.leu
-18.77,5.59,No bison,P.man
-17.17,5.58,No bison,P.man
-18.53,5.57,Bison,P.man
-25.12,5.56,No bison,M.och
-24.73,5.55,Bison,P.man
-24.29,5.55,No bison,P.leu
-22.83,5.55,No bison,P.leu
-18.56,5.54,No bison,M.och
-18.07,5.54,No bison,P.man
-24.97,5.53,No bison,P.man
-19.77,5.51,Bison,P.leu
-9.93,5.5,No bison,P.man
-24.22,5.48,No bison,P.man
-22.81,5.47,No bison,P.man
-21.05,5.45,No bison,P.man
-21.18,5.43,Bison,P.leu
-15.91,5.43,No bison,P.leu
-22.87,5.42,Bison,P.leu
-23.23,5.41,No bison,P.leu
