Species,Tag,Year,Location,Burn,Bison,d15N,d13C
P.man,2048,2017,CCE,Burned,No bison,3.98,-21.48
P.man,2071,2018,SBEX1,Unburned,No bison,3.84,-22.31
P.man,2098,2017,HPN,Burned,Bison,5.76,-12.69
P.man,2134,2017,HF,Burned,Bison,5.07,-24.76
P.leu,2150,2017,SBEX2,Unburned,No bison,5.41,-23.23
P.man,2151,2017,SB,Unburned,No bison,6.03,-12.71
P.man,2157,2017,AG,Unburned,No bison,8.05,-12.74
P.man,2158,2017,SB,Unburned,No bison,5.36,-15.18
P.man,2162,2017,SBEX1,Unburned,No bison,7.33,-11.53
P.man,2171,2017,SBEX1,Unburned,No bison,4.13,-20.79
M.och,2177,2017,SBEX1,Unburned,No bison,8.12,-24.93
M.och,2179,2017,SBEX1,Unburned,No bison,4.26,-25.95
P.leu,2184,2017,TCR,Unburned,No bison,5.59,-24.3
P.leu,2186,2017,TCEX,Unburned,No bison,3.37,-23.73
P.man,2191,2017,SBEX1,Unburned,No bison,4.15,-17.64
P.man,2195,2017,SBEX1,Unburned,No bison,4.35,-19.15
P.man,2197,2017,TCEX,Unburned,No bison,3.19,-20.68
P.man,2199,2017,AG,Unburned,No bison,6.89,-10.38
P.leu,2202,2017,SBEX1,Unburned,No bison,3.44,-20.34
P.leu,2207,2017,TCR,Unburned,No bison,3.63,-23.83
P.leu,2209,2017,TCEX,Unburned,No bison,7.45,-15.43
M.och,2220,2017,SB,Unburned,No bison,5.54,-18.56
P.man,2221,2017,TCEX,Unburned,No bison,5.94,-14.49
P.man,2222,2017,SBEX1,Unburned,No bison,5.96,-15.18
P.man,2224,2017,SBEX1,Unburned,No bison,4.59,-21.55
M.och,2225,2017,TC,Unburned,No bison,3.01,-22.72
P.man,2227,2017,AG,Unburned,No bison,6.03,-13.21
P.leu,2230,2017,SB,Unburned,No bison,5.91,-18.38
P.man,2231,2017,SB,Unburned,No bison,7.02,-9.27
P.leu,2234,2017,TCR,Unburned,No bison,8.18,-11.52
M.och,2239,2017,SBEX1,Unburned,No bison,3.51,-26.03
P.man,2242,2017,SB,Unburned,No bison,7.06,-11.53
M.och,2245,2017,TCEX,Unburned,No bison,4.09,-26.55
M.och,2247,2017,SBEX1,Unburned,No bison,3.39,-26.43
P.man,2248,2017,CCEEX,Unburned,No bison,4.17,-23.19
P.leu,2250,2017,SBEX1,Unburned,No bison,4.92,-13.85
P.man,2252,2017,HPN,Burned,Bison,2.18,-12.77
M.och,2256,2017,SB,Unburned,No bison,3.46,-26.72
P.man,2258,2018,HPW,Burned,Bison,6.63,-17.26
P.leu,2261,2017,CCW,Unburned,No bison,3.85,-14.8
P.leu,2263,2018,SF,Unburned,No bison,6.66,-13.62
P.leu,2266,2017,SBEX2,Unburned,No bison,9.61,-17.28
M.och,2270,2018,HL,Burned,Bison,4.87,-22.33
P.man,2273,2017,CCE,Burned,No bison,5.58,-17.17
P.man,2274,2017,SBEX2,Unburned,No bison,4,-23.51
P.leu,2276,2017,CCEEX,Unburned,No bison,8.58,-12.4
P.man,2287,2017,CCEEX,Unburned,No bison,6.21,-14.67
P.man,2289,2017,AG,Unburned,No bison,7.02,-10.89
P.man,2291,2018,HPN,Unburned,Bison,5.64,-22.3
P.man,2298,2017,HF,Burned,Bison,5.69,-24.99
P.man,2299,2017,CCE,Burned,No bison,1.51,-19.71
P.man,2302,2017,CCEEX,Unburned,No bison,3.74,-23.49
P.man,2304,2017,TCEX,Unburned,No bison,5.73,-15.57
P.man,2310,2017,AG,Unburned,No bison,8.95,-10.4
P.leu,2313,2018,HL,Burned,Bison,5.42,-22.87
M.och,2316,2017,HF,Burned,Bison,6.29,-29.03
P.man,2317,2018,HF,Burned,Bison,6.1,-23.09
P.man,2318,2018,TCR,Burned,No bison,8.32,-11.45
P.leu,2320,2017,CCW,Unburned,No bison,7.72,-26.37
P.man,2321,2018,FC,Burned,No bison,5.63,-23.73
P.man,2325,2017,AG,Unburned,No bison,8.87,-13.5
P.leu,2327,2017,TCEX,Unburned,No bison,8.08,-16.43
P.man,2330,2017,HPN,Burned,Bison,5.66,-23.7
P.leu,2332,2017,TC,Unburned,No bison,3.21,-16.45
P.man,2333,2017,TC,Unburned,No bison,6.41,-12.62
M.och,2339,2018,L,Unburned,Bison,5.67,-26.42
P.man,2345,2017,SB,Unburned,No bison,3.82,-22.18
P.man,2347,2017,HF,Burned,Bison,6.31,-25.17
P.man,2351,2019,CCW,Unburned,No bison,4.4,-19.8
P.leu,2352,2019,MU,Unburned,Bison,4.12,-24.38
P.man,2354,2019,CCWE,Unburned,No bison,5.36,-23.44
P.man,2357,2019,TCR,Unburned,No bison,6.29,-18.07
P.man,2359,2019,SBEX1,Burned,No bison,6.24,-20.38
P.man,2360,2019,MUR,Burned,Bison,,-22.42
P.leu,2362,2019,TCR,Unburned,No bison,5.26,-24.16
P.man,2363,2016,SBEX2,Unburned,No bison,3.51,-23.4
P.man,2365,2019,CCEE,Burned,No bison,3.91,-19.86
P.man,2367,2019,CCWE,Unburned,No bison,5.07,-22.96
P.man,2368,2019,CCW,Unburned,No bison,5.29,-23.28
P.man,2372,2019,CCWE,Unburned,No bison,5.48,-24.22
P.man,2374,2019,SF,Burned,No bison,6.34,-24.14
P.man,2375,2019,HPN,Unburned,Bison,4.24,-24.94
P.man,2377,2019,CCWE,Unburned,No bison,6.04,-23.02
P.man,2378,2019,CCW,Unburned,No bison,4.75,-23.66
P.leu,2380,2019,WH,Burned,Bison,4.19,-22.93
P.man,2382,2016,SB,Burned,No bison,3.97,-18.77
P.man,2389,2019,HPN,Unburned,Bison,5.55,-24.73
P.man,2393,2019,FC,Unburned,No bison,0.45,-11.73
P.man,2396,2019,SB,Burned,No bison,7.54,-18.69
P.leu,2397,2017,L,Burned,Bison,5.43,-21.18
P.man,2402,2019,CCW,Unburned,No bison,4.18,-19.85
P.man,2405,2019,CCW,Unburned,No bison,5.78,-20.28
